Isolate,Nitrogen,Rep,Transfer,ID,mumax,r2
OTB,NO3,1,1,OTB_NO3_1_1,0.114120395408565,0.68976463365446
LD,NO3,1,1,LD_NO3_1_1,0.0933373154550199,0.575799428132732
OTB,NO3,2,1,OTB_NO3_1_2,0.16020914804909,0.851748240175957
LD,NO3,2,1,LD_NO3_1_2,0.0717797175865913,0.51825399128368
OTB,NO3,3,1,OTB_NO3_1_3,0.189612813415725,0.951462120451673
LD,NO3,3,1,LD_NO3_1_3,0.0975980555917156,0.642897908231712
OTB,NO3,1,2,OTB_NO3_2_1,0.271391985872395,0.790701231589318
LD,NO3,1,2,LD_NO3_2_1,0.153628701555169,0.698985490602533
OTB,NO3,2,2,OTB_NO3_2_2,0.202661517208214,0.916823000149281
LD,NO3,2,2,LD_NO3_2_2,0.27895462907155,0.936519134772629
OTB,NO3,3,2,OTB_NO3_2_3,0.252178631084456,0.831824949836659
LD,NO3,3,2,LD_NO3_2_3,0.142344675282164,0.733576150157809
