"","Plate","Sample","Gate","Concentration"
"1","HW_PYRO_07-21-25","LD_C_20_2","R2",0.27
"2","HW_PYRO_07-21-25","LD_C_20_3","R2",0.106
"3","HW_PYRO_07-21-25","LD_C_20_N_3","R2",0.006
"4","HW_PYRO_07-21-25","LD_C_25_1","R2",0.038
"5","HW_PYRO_07-21-25","LD_C_25_2","R2",0.208
"6","HW_PYRO_07-21-25","LD_C_25_3","R2",0.025
"7","HW_PYRO_07-21-25","LD_C_25_N_1","R2",0.263
"8","HW_PYRO_07-21-25","LD_C_25_N_2","R2",0.195
"9","HW_PYRO_07-21-25","LD_C_25_N_3","R2",0.063
"10","HW_PYRO_07-21-25","LD_C_30_1","R2",0.144
"11","HW_PYRO_07-21-25","LD_C_30_2","R2",0.591
"12","HW_PYRO_07-21-25","LD_C_30_3","R2",0.281
"13","HW_PYRO_07-21-25","LD_C_30_N_1","R2",0.306
"14","HW_PYRO_07-21-25","LD_C_30_N_2","R2",0.252
"15","HW_PYRO_07-21-25","LD_C_30_N_3","R2",0.233
"16","HW_PYRO_07-21-25","LD_H_20_1","R2",0.138
"17","HW_PYRO_07-21-25","LD_H_20_N_1","R2",0.013
"18","HW_PYRO_07-21-25","LD_H_20_2","R2",0.126
"19","HW_PYRO_07-21-25","LD_H_20_N_2","R2",0.119
"20","HW_PYRO_07-21-25","LD_H_20_3","R2",0.252
"21","HW_PYRO_07-21-25","LD_H_20_N_3","R2",0.325
"22","HW_PYRO_07-21-25","LD_H_25_1","R2",0.35
"23","HW_PYRO_07-21-25","LD_H_25_N_1","R2",0.415
"24","HW_PYRO_07-21-25","LD_H_25_2","R2",0.138
"25","HW_PYRO_07-21-25","LD_H_25_N_2","R2",0.283
"26","HW_PYRO_07-21-25","LD_H_25_3","R2",0.321
"27","HW_PYRO_07-21-25","LD_H_25_N_3","R2",0.151
"28","HW_PYRO_07-21-25","LD_H_30_1","R2",0.321
"29","HW_PYRO_07-21-25","LD_H_30_2","R2",0.244
"30","HW_PYRO_07-21-25","LD_H_30_3","R2",0.925
"31","HW_PYRO_07-21-25","LD_H_30_N_1","R2",0.447
"32","HW_PYRO_07-21-25","OTB_C_20_1","R2",0.239
"33","HW_PYRO_07-21-25","OTB_C_20_2","R2",0.214
"34","HW_PYRO_07-21-25","OTB_C_20_3","R2",0.214
"35","HW_PYRO_07-21-25","OTB_C_20_N_1","R2",0.025
"36","HW_PYRO_07-21-25","OTB_C_20_N_3","R2",0.025
"37","HW_PYRO_07-21-25","OTB_C_25_1","R2",0.195
"38","HW_PYRO_07-21-25","OTB_C_25_2","R2",0.176
"39","HW_PYRO_07-21-25","OTB_C_25_3","R2",0.371
"40","HW_PYRO_07-21-25","OTB_C_25_N_1","R2",0.528
"41","HW_PYRO_07-21-25","OTB_C_25_N_2","R2",0.497
"42","HW_PYRO_07-21-25","OTB_C_25_N_3","R2",0.588
"43","HW_PYRO_07-21-25","OTB_C_30_1","R2",0.244
"44","HW_PYRO_07-21-25","OTB_C_30_3","R2",0.487
"45","HW_PYRO_07-21-25","OTB_C_30_N_1","R2",0.175
"46","HW_PYRO_07-21-25","OTB_C_30_N_2","R2",0.182
"47","HW_PYRO_07-21-25","OTB_C_30_N_3","R2",0.182
"48","HW_PYRO_07-21-25","OTB_H_20_1","R2",0.037
"49","HW_PYRO_07-21-25","OTB_H_20_3","R2",0.05
"50","HW_PYRO_07-21-25","OTB_H_20_N_1","R2",0.075
"51","HW_PYRO_07-21-25","OTB_H_20_N_2","R2",0.044
"52","HW_PYRO_07-21-25","OTB_H_20_N_3","R2",0.075
"53","HW_PYRO_07-21-25","OTB_H_25_1","R2",0.163
"54","HW_PYRO_07-21-25","OTB_H_25_2","R2",0.296
"55","HW_PYRO_07-21-25","OTB_H_25_3","R2",0.094
"56","HW_PYRO_07-21-25","OTB_H_25_N_1","R2",0.031
"57","HW_PYRO_07-21-25","OTB_H_25_N_3","R2",0.151
"58","HW_PYRO_07-21-25","OTB_H_30_1","R2",0.132
"59","HW_PYRO_07-21-25","OTB_H_30_2","R2",0.27
"60","HW_PYRO_07-21-25","OTB_H_30_3","R2",0.25
"61","HW_PYRO_07-21-25","OTB_H_30_N_1","R2",0.069
"62","HW_PYRO_07-21-25","OTB_H_30_N_2","R2",0.063
"63","HW_PYRO_07-21-25","OTB_H_30_N_3","R2",0.075
